Movie Title,Year,Score,Adjusted Score,Director,Synopsis,Cast,Consensus
Iron Monkey,1993,91,93407,Woo-Ping Yuen,"In a desperate and unjust land, where government corruption rules the day, only one man has the courage to challenge... [More]","Rongguang Yu, Donnie Yen, Sze-Man Tsang, Jean Wang","Iron Monkey may not have the poetic lyricism of Crouching Tiger, it makes up for it in fun and energy."
Escape From New York,1981,86,89983,John Carpenter,"In 1997, a major war between the United States and the Soviet Union is concluding, and the entire island of... [More]","Kurt Russell, Ernest Borgnine, Adrienne Barbeau, Lee Van Cleef","Featuring an atmospherically grimy futuristic metropolis, Escape from New York is a strange, entertaining jumble of thrilling action and oddball weirdness."
Battle Royale,2000,88,88055,Kinji Fukasaku,"42 9th graders are sent to a deserted island. They are given a map, food, and various weapons. An explosive... [More]","Tatsuya Fujiwara, Aki Maeda, Taro Yamamoto, Masanobu Andô","Battle Royale is a controversial and violent parable of adolescence, heightening teenage melodrama with life-or-death stakes."
Spider-Man 2,2004,93,104581,Sam Raimi,"When a failed nuclear fusion experiment results in an explosion that kills his wife, Dr. Otto Octavius (Alfred Molina) is... [More]","Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina","Boasting an entertaining villain and deeper emotional focus, this is a nimble sequel that improves upon the original."
13 Assassins,2010,95,100003,Takashi Miike,"In this remake of a 1963 film based on historical events, Shinzaemon Shimada leads a team of assassins in 19th-century... [More]","Koji Yakusho, Takayuki Yamada, Yusuke Iseya, Goro Inagaki","Takashi Miike's electric remake of Eiichi Kudo's 1963 period action film is a wild spectacle executed with killer, dizzying panache."
Full Contact,1992,89,76979,Ringo Lam,"Jeff (Chow Yun-Fat), who works as a nightclub bouncer in Bangkok, saves his friend Sam (Wong Chow-Sang) from a beating... [More]","Chow Yun-Fat, Simon Yam, Bonnie Fu, Wong Chow-Sang",No consensus yet.
Indiana Jones and the Last Crusade,1989,88,93953,Steven Spielberg,An art collector appeals to Jones to embark on a search for the Holy Grail. He learns that another archaeologist... [More],"Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody","Lighter and more comedic than its predecessor, Indiana Jones and the Last Crusade returns the series to the brisk serial adventure of Raiders, while adding a dynamite double act between Harrison Ford and Sean Connery."
Kung Fu Hustle,2004,90,98139,Stephen Chow,"When the hapless Sing (Stephen Chow) and his dim-witted pal, Bone (Feng Xiaogang), try to scam the residents of Pig... [More]","Stephen Chow, Yuen Wah, Yuen Qiu, Siu-Lung Leung","Kung Fu Hustle blends special effects, martial arts, and the Looney Toons to hilarious effect."
A Better Tomorrow,1986,93,92519,John Woo,A Hong Kong policeman (Leslie Cheung) blames his reformed-gangster brother (Chow Yun-Fat) for the death of their father.... [More],"Ti Lung, Chow Yun-Fat, Leslie Cheung, Emily Chu",No consensus yet.
Iron Man,2008,94,105230,Jon Favreau,"A billionaire industrialist and genius inventor, Tony Stark (Robert Downey Jr.), is conducting weapons tests overseas, but terrorists kidnap him... [More]","Robert Downey Jr., Terrence Howard, Gwyneth Paltrow, Jeff Bridges","Powered by Robert Downey Jr.'s vibrant charm, Iron Man turbo-charges the superhero genre with a deft intelligence and infectious sense of fun."
The Night Comes for Us,2018,91,91146,Timo Tjahjanto,"Ito, a gangland enforcer, is caught amidst a treacherous and violent insurrection within his Triad crime family.... [More]","Joe Taslim, Iko Uwais, Julie Estelle, Sunny Pang","A bloody thrill ride designed to test the limits of more squeamish viewers, The Night Comes for Us wields a stylishly violent, action-packed punch."
Logan,2017,94,126307,James Mangold,"In the near future, a weary Logan (Hugh Jackman) cares for an ailing Professor X (Patrick Stewart) at a remote... [More]","Hugh Jackman, Patrick Stewart, Dafne Keen, Richard E. Grant","Hugh Jackman makes the most of his final outing as Wolverine with a gritty, nuanced performance in a violent but surprisingly thoughtful superhero action film that defies genre conventions."
